PSDI,InChi,LogS (log(mol/L)),LogS Temperature (C),LogS Solvent InChi,Misc. MoleFraction,Misc. Temperature (C),Misc. Solvent InChi,Source,Citation,Master Version
PSDI000040,"InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2",,,,0.0,10.0,InChI=1S/H2O/h1H2,IUPAC,"The SDS is an ongoing work. Expressions of interest from qualified individuals interested in volume preparation as well as questions about the series and its use should be directed to the Editor-in-Chief, Mark Salomon <markinnj@comcast.net>.",0.0.5
PSDI000040,"InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2",,,,0.0,15.0,InChI=1S/H2O/h1H2,IUPAC,"The SDS is an ongoing work. Expressions of interest from qualified individuals interested in volume preparation as well as questions about the series and its use should be directed to the Editor-in-Chief, Mark Salomon <markinnj@comcast.net>.",0.0.5
PSDI000040,"InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2",,,,0.0,20.0,InChI=1S/H2O/h1H2,IUPAC,"The SDS is an ongoing work. Expressions of interest from qualified individuals interested in volume preparation as well as questions about the series and its use should be directed to the Editor-in-Chief, Mark Salomon <markinnj@comcast.net>.",0.0.5
PSDI000040,"InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2",,,,0.0,25.0,InChI=1S/H2O/h1H2,IUPAC,"The SDS is an ongoing work. Expressions of interest from qualified individuals interested in volume preparation as well as questions about the series and its use should be directed to the Editor-in-Chief, Mark Salomon <markinnj@comcast.net>.",0.0.5
PSDI000040,"InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2",,,,0.0,30.0,InChI=1S/H2O/h1H2,IUPAC,"The SDS is an ongoing work. Expressions of interest from qualified individuals interested in volume preparation as well as questions about the series and its use should be directed to the Editor-in-Chief, Mark Salomon <markinnj@comcast.net>.",0.0.5
PSDI000040,"InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2",,,,0.0,35.0,InChI=1S/H2O/h1H2,IUPAC,"The SDS is an ongoing work. Expressions of interest from qualified individuals interested in volume preparation as well as questions about the series and its use should be directed to the Editor-in-Chief, Mark Salomon <markinnj@comcast.net>.",0.0.5
PSDI000040,"InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2",,,,0.0,40.0,InChI=1S/H2O/h1H2,IUPAC,"The SDS is an ongoing work. Expressions of interest from qualified individuals interested in volume preparation as well as questions about the series and its use should be directed to the Editor-in-Chief, Mark Salomon <markinnj@comcast.net>.",0.0.5
PSDI000040,"InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2",,,,0.0,45.0,InChI=1S/H2O/h1H2,IUPAC,"The SDS is an ongoing work. Expressions of interest from qualified individuals interested in volume preparation as well as questions about the series and its use should be directed to the Editor-in-Chief, Mark Salomon <markinnj@comcast.net>.",0.0.5
PSDI000040,"InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2",,,,0.0,50.0,InChI=1S/H2O/h1H2,IUPAC,"The SDS is an ongoing work. Expressions of interest from qualified individuals interested in volume preparation as well as questions about the series and its use should be directed to the Editor-in-Chief, Mark Salomon <markinnj@comcast.net>.",0.0.5
PSDI000040,"InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2",-2.18,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI000040,"InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2",-2.18,25.0,InChI=1S/H2O/h1H2,,,,Delaney2004,"J. Chem. Inf. Comput. Sci. 2004, 44, 3, 1000-1005",0.0.7
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.03,79.8,InChI=1S/C2H3N/c1-2-3/h1H3,DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.05,80.4,InChI=1S/C2H3N/c1-2-3/h1H3,DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.14,75.8,InChI=1S/C2H3N/c1-2-3/h1H3,DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.32,70.9,InChI=1S/C2H3N/c1-2-3/h1H3,DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.48,67.1,InChI=1S/C2H3N/c1-2-3/h1H3,DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.48,67.0,InChI=1S/C2H3N/c1-2-3/h1H3,DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.66,62.7,InChI=1S/C2H3N/c1-2-3/h1H3,DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.79,59.9,InChI=1S/C2H3N/c1-2-3/h1H3,DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.88,57.6,InChI=1S/C2H3N/c1-2-3/h1H3,DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.01,115.0,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.02,112.0,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.05,107.1,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.07,103.8,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.15,91.7,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.2,86.9,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.22,85.4,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.26,81.7,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.31,78.8,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.54,68.6,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.61,66.2,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.66,64.5,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.76,61.6,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.82,60.0,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.9,58.1,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.12,101.35,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.24,88.49,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.35,80.0,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.46,74.21,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.56,70.03,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.66,66.34,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.75,63.32,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.84,60.9,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.92,58.68,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.0,63.6,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.06,57.9,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.12,54.7,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.18,53.2,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.29,51.5,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.39,50.7,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.5,50.2,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.59,50.1,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.6,50.1,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.7,50.3,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.8,51.0,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.91,52.8,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,1.0,56.4,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.04,79.78,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.11,75.41,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.15,73.41,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.19,71.63,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.25,69.32,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.4,65.01,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.42,64.6,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.46,63.8,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.61,61.19,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.77,58.75,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.92,56.78,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.0,118.1,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.05,110.0,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.1,103.8,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.2,93.1,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.3,85.8,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.4,79.7,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.5,74.6,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.6,70.2,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.7,66.1,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.8,62.6,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.9,59.2,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,1.0,56.1,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.04,112.1,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.1,107.4,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.12,106.3,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.13,106.1,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.12,105.4,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.16,104.6,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.19,101.4,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.19,98.7,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.23,94.3,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.24,92.5,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.27,90.4,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.29,87.0,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.31,86.3,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.43,78.6,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,0.54,74.2,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DDB2023,"Dortmund Data Bank, 2023, www.ddbst.com",0.0.4
