PSDI,InChi,HLC (mol m-3 Pa-1),HLC Temperature (C),HLC Solvent InChi,Source,Citation,Master Version
PSDI00023E,"InChI=1S/C4H6/c1-3-4-2/h1H,4H2,2H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/J100876A049,0.0.8
PSDI000242,"InChI=1S/C2H3ClF2/c1-2(3,4)5/h1H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1002/KIN.20780,0.0.8
PSDI000243,"InChI=1S/C2HClF4/c3-1(4)2(5,6)7/h1H",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1002/KIN.20780,0.0.8
PSDI000253,"InChI=1S/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/IE980743H,0.0.8
PSDI000259,"InChI=1S/C6H13Cl/c1-2-3-4-5-6-7/h2-6H2,1H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/AC00070A008,0.0.8
PSDI00025A,InChI=1S/C10H7Cl/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7H,0.03,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE960218U,0.0.8
PSDI00025E,"InChI=1S/C5H11Cl/c1-2-3-4-5-6/h2-5H2,1H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/AC00070A008,0.0.8
PSDI00025F,"InChI=1S/C3H7Cl/c1-2-3-4/h2-3H2,1H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/AC00070A008,0.0.8
PSDI000268,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",0.08,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE301326T,0.0.8
PSDI000278,"InChI=1S/C12H12/c1-2-10-7-5-8-11-6-3-4-9-12(10)11/h3-9H,2H2,1H3",0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0045-6535(99)00082-X,0.0.8
PSDI000287,"InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3",0.38,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE301326T,0.0.8
PSDI000295,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",0.57,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE301326T,0.0.8
PSDI000296,"InChI=1S/C6H5F9O/c7-3(8,1-2-16)4(9,10)5(11,12)6(13,14)15/h16H,1-2H2",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.HAZL.2022.100070,0.0.8
PSDI0002AE,"InChI=1S/C3H7I/c1-2-3-4/h2-3H2,1H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/AC00070A008,0.0.8
PSDI0002B5,"InChI=1S/C4H10O2/c1-4(5)3-6-2/h4-5H,3H2,1-2H3",4.8,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1136/OEM.45.8.561,0.0.8
PSDI0002C4,"InChI=1S/C11H10/c1-9-5-4-7-10-6-2-3-8-11(9)10/h2-8H,1H3",0.04,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI0002C5,"InChI=1S/C15H12/c1-11-5-4-8-15-13(11)10-9-12-6-2-3-7-14(12)15/h2-10H,1H3",0.2,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1002/ETC.5620180906,0.0.8
PSDI0002DD,"InChI=1S/C12H11NO2/c1-13-12(14)15-11-8-4-6-9-5-2-3-7-10(9)11/h2-8H,1H3,(H,13,14)",99.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JF950423Y,0.0.8
PSDI0002DE,"InChI=1S/C10H9N/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7H,11H2",160.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0045-6535(99)00082-X,0.0.8
PSDI0002E6,InChI=1S/C10H7NO2/c12-11(13)10-7-3-5-8-4-1-2-6-9(8)10/h1-7H,4.6,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.WATRES.2017.04.074,0.0.8
PSDI0002E7,"InChI=1S/C3H7NO2/c1-2-3-4(5)6/h2-3H2,1H3",0.13,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE9900326,0.0.8
PSDI0002EC,"InChI=1S/C9H20O/c1-2-3-4-5-6-7-8-9-10/h10H,2-9H2,1H3",0.11,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE301326T,0.0.8
PSDI0002F7,"InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3",0.17,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ACS.EST.1C07882,0.0.8
PSDI0002FF,"InChI=1S/C5H10O/c1-2-3-4-5-6/h5H,2-4H2,1H3",0.07,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ES504540C,0.0.8
PSDI000301,"InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3",0.81,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE301326T,0.0.8
PSDI000312,"InChI=1S/C12H14/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h1,3-4,7-9H,2,5-6,10H2",0.18,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.ATMOSENV.2016.10.009,0.0.8
PSDI00031D,"InChI=1S/C7H15NO/c9-7-6-8-4-2-1-3-5-8/h9H,1-7H2",51.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.IJGGC.2017.01.001,0.0.8
PSDI000323,"InChI=1S/C3H8S/c1-2-3-4/h4H,2-3H2,1H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.FLUID.2006.02.022,0.0.8
PSDI000324,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",1.5,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1134/S1070427208030014,0.0.8
PSDI00033D,"InChI=1S/C13H29N/c1-2-3-4-5-6-7-8-9-10-11-12-13-14/h2-14H2,1H3",0.09,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0045-6535(99)00082-X,0.0.8
PSDI000352,"InChI=1S/C17H12/c1-3-7-14-12(5-1)9-10-16-15-8-4-2-6-13(15)11-17(14)16/h1-10H,11H2",0.37,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1002/ETC.5620180906,0.0.8
PSDI000372,"InChI=1S/C4H6N2/c1-6-3-2-5-4-6/h2-4H,1H3",69.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.IJGGC.2017.01.001,0.0.8
PSDI000374,"InChI=1S/C6H10N2/c1-3-6-7-4-5(2)8-6/h4H,3H2,1-2H3,(H,7,8)",280.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.IJGGC.2017.01.001,0.0.8
PSDI000375,"InChI=1S/C4H6N2/c1-4-5-2-3-6-4/h2-3H,1H3,(H,5,6)",810.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.IJGGC.2017.01.001,0.0.8
PSDI0003C3,InChI=1S/C12H3Cl7/c13-5-2-7(15)6(14)1-4(5)10-8(16)3-9(17)11(18)12(10)19/h1-3H,0.02,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ES020599Y,0.0.8
PSDI0003C7,InChI=1S/C12H5Cl5/c13-6-4-9(16)12(10(17)5-6)11-7(14)2-1-3-8(11)15/h1-5H,0.02,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE0000266,0.0.8
PSDI0003D0,InChI=1S/C12H8Cl2/c13-11-7-3-1-5-9(11)10-6-2-4-8-12(10)14/h1-8H,0.05,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ES020599Y,0.0.8
PSDI0003D9,"InChI=1S/C2H3F3O/c3-2(4,5)1-6/h6H,1H2",0.47,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.ATMOSENV.2003.08.002,0.0.8
PSDI0003DB,"InChI=1S/C3H4F4O/c4-2(5)3(6,7)1-8/h2,8H,1H2",1.4,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.ATMOSENV.2003.08.002,0.0.8
PSDI0003FB,"InChI=1S/C8H18/c1-5-6-7-8(2,3)4/h5-7H2,1-4H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/IE030800T,0.0.8
PSDI0003FD,"InChI=1S/C5H12/c1-5(2,3)4/h1-4H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/J100722A006,0.0.8
PSDI000400,InChI=1S/C12H4Cl6/c13-6-2-1-5(3-7(6)14)10-8(15)4-9(16)11(17)12(10)18/h1-4H,0.02,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ES020599Y,0.0.8
PSDI000408,InChI=1S/C12H5Cl5/c13-7-3-1-6(2-4-7)8-5-9(14)11(16)12(17)10(8)15/h1-5H,0.05,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/AC0604742,0.0.8
PSDI000409,InChI=1S/C7H3Cl5/c1-2-3(8)5(10)7(12)6(11)4(2)9/h1H3,0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/0045-6535(85)90029-3,0.0.8
PSDI00040E,"InChI=1S/C7H4Cl4O/c1-12-4-2-3(8)5(9)7(11)6(4)10/h2H,1H3",0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1007/S002160101077,0.0.8
PSDI000432,"InChI=1S/C7H5Cl3O/c1-11-7-5(9)3-2-4(8)6(7)10/h2-3H,1H3",0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.CHROMA.2004.12.027,0.0.8
PSDI00043A,InChI=1S/C12H4Cl4O/c13-7-1-5-6-2-8(14)10(16)4-12(6)17-11(5)3-9(7)15/h1-4H,0.59,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1002/ETC.5620121110,0.0.8
PSDI00043E,InChI=1S/C4H6O2/c1-3(5)4(2)6/h1-2H3,0.14,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1039/D2EM00365A,0.0.8
PSDI000452,InChI=1S/C3H4Cl2/c1-3(5)2-4/h1-2H2,0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1080/09593338709384529,0.0.8
PSDI000468,"InChI=1S/C8H10O/c1-6-4-3-5-8(9)7(6)2/h3-5,9H,1-2H3",9.3,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ES001406E,0.0.8
PSDI00047D,"InChI=1S/C7H5Cl3O/c1-11-7-3-5(9)4(8)2-6(7)10/h2-3H,1H3",0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1007/S002160101077,0.0.8
PSDI00047F,InChI=1S/C12H7Cl3/c13-10-7-12(15)11(14)6-9(10)8-4-2-1-3-5-8/h1-7H,0.03,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE0000266,0.0.8
PSDI000483,"InChI=1S/C7H5Cl3/c1-4-2-6(9)7(10)3-5(4)8/h2-3H,1H3",0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/0045-6535(85)90029-3,0.0.8
PSDI000486,"InChI=1S/C9H13N/c1-6-4-8(3)9(10)5-7(6)2/h4-5H,10H2,1-3H3",3.9,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ES00035A028,0.0.8
PSDI000492,"InChI=1S/C7H5Br3O/c1-11-7-5(9)2-4(8)3-6(7)10/h2-3H,1H3",0.02,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.CHROMA.2004.12.027,0.0.8
PSDI000498,"InChI=1S/C7H5Cl3O/c1-11-7-5(9)2-4(8)3-6(7)10/h2-3H,1H3",0.02,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ACS.EST.1C07882,0.0.8
PSDI00049A,"InChI=1S/C6H3Cl3O/c7-3-1-4(8)6(10)5(9)2-3/h1-2,10H",19.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.WATRES.2017.04.074,0.0.8
PSDI0004BF,"InChI=1S/C6H4Cl2O/c7-4-1-2-6(9)5(8)3-4/h1-3,9H",3.4,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ES001406E,0.0.8
PSDI0004C0,"InChI=1S/C8H6Cl2O3/c9-5-1-2-7(6(10)3-5)13-4-8(11)12/h1-3H,4H2,(H,11,12)",0.14,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JF960834U,0.0.8
PSDI0004C2,"InChI=1S/C7H6Cl2/c1-5-2-3-6(8)4-7(5)9/h2-4H,1H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.FLUID.2013.03.023,0.0.8
PSDI0004D0,"InChI=1S/C6H14S/c1-5(2)7-6(3)4/h5-6H,1-4H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0021-9673(00)91567-X,0.0.8
